"indulo_keszlet","cikkszam","megnevezes","szin","osztaly","meret"
15,15393,"Nyakkendő","zöld",1,"egy méret"
20,15398,"Nyakkendő Sz.E.","fekete/fehér",1,"egy méret"
1,15398,"Nyakkendő","fekete/sárga",1,"egy méret"
1,15413,"Sál Sz.E.","fekete/fehér",1,"egy méret"
42,15414,"Sál Sz.E.","fekete/fehér",1,"egy méret"
31,15415,"Sál Sz.E.","fekete",1,"egy méret"
2,15473,"Pulóver","barna",1,"2XL"
2,15473,"Pulóver","barna",1,"3XL"
8,15473,"Pulóver","bordó",1,"2XL"
9,15473,"Pulóver","bordó",1,"3XL"
21,15473,"Pulóver","bordó",1,"L"
5,15473,"Pulóver","bordó",1,"S"
25,15473,"Pulóver","bordó",1,"XL"
1,15473,"Pulóver","bordó",2,"S"
5,15473,"Pulóver","ecrü",1,"3XL"
85,15473,"Pulóver","ecrü",1,"L"
2,15473,"Pulóver","ecrü",1,"M"
103,15473,"Pulóver","ecrü",1,"XL"
2,15473,"Pulóver","k.szürke",1,"3XL"
2,15473,"Pulóver","k.szürke",1,"L"
2,15473,"Pulóver","k.szürke",1,"M"
2,15473,"Pulóver","k.szürke",1,"S"
1,15473,"Pulóver","k.szürke",1,"XL"
2,15473,"Pulóver","s.kék (antracit)",1,"2XL"
2,15473,"Pulóver","s.kék (antracit)",1,"3XL"
2,15473,"Pulóver","s.kék (antracit)",1,"L"
2,15473,"Pulóver","s.kék (antracit)",1,"S"
2,15473,"Pulóver","s.kék (antracit)",1,"XL"
1,15473,"Pulóver","s.szürke",1,"2XL"
2,15473,"Pulóver","s.szürke",1,"3XL"
21,15473,"Pulóver","s.szürke",1,"L"
4,15473,"Pulóver","s.szürke",1,"M"
